Company Name,Address,PO Box,Phone,Fax,Email,Website,Business Activity
AENZAY Interiors & Architects,"DEIRA, NAD AL HAMMAR",410460,+97-142-855845,+97-14-2859447,waqar@aenzay.net,www.aenzay.com,"interior designing, Architectural Services, Interior designer,  Elevation, Mapping."
AEON Interiors LLC,"Indigo icon tower, 1408, Cluster F , JLT, Dubai",54041,0507494714,04 4477423,royaltz7000@gmail.com,http://www.aeoninteriors.com,"Interior Design Decoration, Contracting, Architectural Consultancy, Fitout Works, Space Planning Off"
AFAC INTERIOR DESIGN (L.L.C),Dubai,62848,04-2249803,04-2249804,,www.afac-interiors.com,Interior Decoration
AFAC Interior Design & Engineering Svces,Dubai,62848,04-2249803,04-2249804,,www.afac.com,Interior Decorators
AFAC Interior Design Eng Services,Dubai,62848,04-2249803,04-2249804,,www.afac.com,Interior Decorators
AGORA DESIGN,Dubai,92746,04-2686608,,,,Interior Decoration
AHMED AL KHAROOSI INTERIOR DECORATION,Dubai,60521,04-3336900,04-3330736,,,Furniture – Designers & Custom Builders
AIM CREATIVE DESIGN (L.L.C),Dubai,75751,04-2675456,04-2675508,,,Interior Decoration
AIRFREIGHT AVIATION LIMITED,Sharjah-Sharjah Airport International Free Zone,,06-5570713,06-5570714,,,"Import, Export of Aircrafts & Related Spare Parts & Interior Design Materials."
AKADEZINE,"al qusais, dubai,uae",00971,00971555329289,00971,info@akadezine.com,http://akadezine.com,"Architectural designing,interior designing, 3d visualization, Vray rendering,Space planing, 2d detai"
AL AREESH INTERIORS,Abu Dhabi,6609,,,,,Decor Design And Execution
AL ATLAL INTERIOR DESIGN,Dubai,10613,04-3330487,04-2213593,,,Interior Decoration
AL ATLAL INTERIOR DESIGN,Dubai,10613,04-3330487,04-2213593,,,Partitions & False Ceilings Contracting
AL BASIK GENERAL CONTRACTING & INTERIORS,Abu Dhabi,7672,02-4465448,02-4465449,,,Decor Design And Execution
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Carpentry & Flooring Contracting
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Interior Decoration
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Partitions & False Ceilings Contracting
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Cladding Works
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Insulation Contracting
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Plumbing & Sanitary Contracting
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Floor & Wall Tiling Works
AL BERWAZ BUILDING SUPPLIES & INTERIORS DESIGN (L.,Dubai,48875,04-2973922,04-2973923,,,Painting Contracting
AL DAR INTERIOR DESIGN (L.L.C),Dubai,28947,04-3328299,04-3328296,,,Interior Decoration
AL DHIYAFA INTERIORS,Dubai,30035,04-3478194,04-3478410,,,Furniture – Designers & Custom Builders
AL IHSAN INTERIOR DESIGN,Dubai,119262,04-2678582,04-2678581,,,Interior Decoration
AL JAZEERA ARCHITECT & INTERIOR DESIGN CONSULTANCY,Dubai,33323,04-2830002,04-2869622,,,Interior Design Engineering Services
AL JAZEERA ARCHITECT & INTERIOR DESIGN CONSULTANCY,Dubai,33323,04-2830002,04-2869622,,,Architectural Engineering Consultancies
AL JAZEERA ARCHITECT & INTERIOR DESIGN CONSULTANCY,Dubai,33323,04-2830002,04-2869622,,,Civil Engineering Services
AL KATHEEB INTERIOR DESIGN,Dubai,34508,04-2713541,04-2719788,,,Interior Decoration
AL LAZORD INTERIOR DESIGN & LANDSCAPING,Dubai,27859,04-3243025,04-3243024,, ,Landscape Architects & Contractors
AL LAZORD INTERIOR DESIGN & LANDSCAPING,Dubai,27859,04-3243025,04-3243024,,,Landscape Architects & Contractors
AL LAZORD INTERNAL DESIGN & LANDSCAPING (L.L.C),Dubai,27859,04-3243025,04-3243024,,,Interior Decoration
AL MARSAM INTERIOR DESIGN,Dubai,11781,04-3970016,04-3971558,,,Furniture Dealers – Wholesale
AL MARSAM INTERIOR DESIGN,Dubai,11781,04-3970016,04-3971558,,,Furniture Dealers – Retail
AL MARSAM INTERIOR DESIGN,Dubai,11781,04-3970016,04-3971558,,,Furnishing Suppliers – Soft Furnishings
AL MATRAQA AL ZAHBIA INTERIOR DECORATORS,Dubai,37942,04-3474991,04-3477256,,,Furniture – Designers & Custom Builders
AL MOSTAQBAL CONSULTING ENGINEERING,Dubai,4759,04-2626776,04-2666493,,,Interior Design Engineering Services
AL NABOODAH INTERIORS – L L C – ABU DHABI BRANCH,Abu Dhabi,54077,02-6744290,02-6740896,,,Decor Design And Execution
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Home Furniture Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Curtains & Upholstery Fabrics Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Interior Decoration
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Oriental Carpets Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Decoration Materials & Partitions Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Domestic Kitchen Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Office Furniture Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Metal Blinds Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,Carpets Trading
AL NASEEM DECOR WORKS & INTERIOR DESIGNS,Dubai,26123,04-3364377,04-3364378,,,"Blankets , Towels & Linens Trading"
AL NAWRAS AL ABYAD INTERIOR DESIGN ACCESSORIES FAC,Sharjah,22531,06-5345671,06-5345687,,,Floor & Ceiling Products – Suppliers & Contractors
AL NAWRAS AL ABYAD INTERIOR DESIGN ACCESSORIES FAC,Sharjah,22531,06-5345671,06-5345687,,,Building Materials
AL NAWRAS AL ABYAD INTERIOR DESIGN ACCESSORIES FAC,Sharjah,22531,06-5345671,06-5345687,,,Glass & Mirror Machinery & Accessories
AL REEF INTERIOR DESIGNING COMPANY,Abu Dhabi,44500,02-6331123,,,,Decor Design And Execution
AL RUWAQ INTERIOR DESIGN AND DECOR OFFICE,Al Ain,80745,03-7660043,03-7660042,,,Decor Design And Execution
AL SALAM INTERIOR DESIGN,Dubai,4199,04-2824839,04-2827745,,,Interior Decoration
AL SAQER DESIGNING & DECORATION,Dubai,3959,04-2852452,04-2851707,,,Interior Decoration
AL SHERAA INTERIOR DESIGN,Dubai,29295,04-2710731,04-2710731,,,Interior Decoration
AL SHERAA INTERIOR DESIGN,Dubai,29295,04-2710731,04-2710731,,,General Maintenance
AL SHERAA INTERIOR DESIGN,Dubai,29295,04-2710731,04-2710731,,,Building Cleaning Services
ALCANARY INTERIORS DESIGN,Dubai,364,04-3350558,,,,Landscaping Works
ALCANARY INTERIORS DESIGN,Dubai,364,04-3350558,,,,Interior Decoration
ALGEDRA Interior Design,"Office 1501, JBC 3 – Cluster Y, Jumeirah Lake Towe",–,+971 52 8111106,–,hello@algedra.ae,http://algedra.ae,"interior design, space planning, designing residential, designing commercial projects, exterior desi"
ALGEDRA Interior Design,"JLT, JBC 3, 1501",214644,97143639703,97143626302,,http://www.algedra.ae/,"Interior Design, Design, Residential Design, Commercial Design"
ALI BAKHTIAR DESIGNS (L.L.C),Dubai,2916,04-3940906,04-3940904,,,Interior Decoration
ALL BLACKS INTERIORS,Abu Dhabi,33933,,,,,Decor Design And Execution
ALLEGRATO FZ LLC,Dubai-Dubai Media City,,04-3903180,04-3908203,,www.allegrato.com,"Interior Designing,Advertising through the Line"
ALLEGRATO FZ LLC,Dubai – Dubai Media City (DMC),,04-3903180,04-3908203,,www.allegrato.com,"Interior Designing,Advertising through the Line"
ALMUR GENERAL MAINTENANCE & INTERIOR DESIGN,Dubai,12390,04-3476918,04-3476918,,,General Maintenance
ALMUR GENERAL MAINTENANCE & INTERIOR DESIGN,Dubai,12390,04-3476918,04-3476918,,,Interior Decoration
ALTANEEN INTERIOR DESIGN WORKS (L.L.C),Dubai,121191,04-2624877,04-2624877,,,Interior Decoration
AMMORIA CONTRACTING COMPANY LLC,"INDUSTRIAL AREA 3,SHARJAH,UAE",6634,06543 9390,06543 9447,sinson@ammoria.ae,http://www.ammoria.ae,"Construction of civil works,Interior Design,Landscaping"
AMPioneer Real Estate & General Contracting,"20th Floor Royal Business Center, Haza Bin Zayed t",2014,02-8186783,028186783,ampioneerseo@gmail.com,http://www.ampioneer.ae,"Real Estate Services, Property Management, Interior Design, Construction"
ANDALOS LIGHT CARGO (L.L.C),Dubai,20333,,,,,Interior Design Engineering Services
ANG Interiors,Dubai,20423,04-2978046,04-2978047,,www.alnaboodah.com,Interior Designers & Consultants
ANNAIS INTERIOR DESIGN,Dubai,25793,,,,,Interior Decoration
ANTS DESIGN & BUILD (L.L.C),Dubai,111717,04-3356548,04-3356511,,,Interior Decoration
ANTS Design & Build,Dubai,111717,04-3356511,04-3356548,,,Interior Designers & Consultants
ARC&B,"Office 304, Block E,Office Park,Al Sufouh, Dubai,",4825,971·4·558·6540,971·4·558·6540,arcandbofficial@outlook.com,http://arcandb.com,Interior Design
ARC-P Interiors,Dubai,53823,04-2297631,04-2211202,,www.arc-p.com,Interior Designers & Consultants
ARCANE INTERIOR DECORATIONS LLC,Abu Dhabi,37818,02-6417715,02-4464635,,www.arcaneid.net.ae,Decor Design And Execution
ARCHI TETTURA INTERIOR DESIGN WORKS,Dubai,91119,,,,,Interior Decoration
ARCHIADE DESIGN LIMITED – DUBAI BRANCH,Dubai,11970,04-3485750,04-3485760,,www.archiade.com,Interior Decoration
ARCHITECTURAL ART MAINTENANCE & INTERIOR DESIGN,Dubai,85709,04-2213131,,,,Interior Decoration
ARCHITECTURAL ART MAINTENANCE & INTERIOR DESIGN,Dubai,85709,04-2213131,,,,General Maintenance
AREEN INTERIORS,Abu Dhabi,127257,02-4464742,02-4464743,,,Decor Design And Execution
ARKAN INTERIOR FURNITURE TRADING,Abu Dhabi,7747,02-4468800,02-4467999,,,Decor Design And Execution
ARKI GROUP DESIGN (L.L.C),Dubai,33591,04-2865855,04-2865856,,www.arkigroup.com,Interior Decoration
ART & INTERIOR DESIGN,Dubai,14900,04-3364425,04-3364426,,,Interior Decoration
ART CONNECTION,Dubai,78874,04-3192271,04-3300371,,,Interior Design Engineering Services
ART DESIGN DECOR (L.L.C),Dubai,50725,04-2666570,04-2690242,,,Interior Decoration
ART DESIGNING & DECOR WORKS CO. (L.L.C) DUBAI BRAN,Dubai,34042,04-2940163,04-2940162,,,Interior Decoration
ART METAL FZC,Sharjah-Hemriyah Free Zone,41734,06-5260215,06-5260216,,,"Manufacturing Furniture, Interior designing & execution and Steel Fabrication."
ART METAL FZC,Sharjah-Hamriyah Free Zone,,06-5260215,06-5260216,,,"Manufacturing Furniture, Interior designing & execution and Steel Fabrication."
ART VENUE INTERIOR DESIGN (L.LC),Dubai,60816,04-2827996,04-2828019,,,Interior Decoration
ARTESIA INTERIORS -L L C,Abu Dhabi,39202,02-6811179,02-6811134,,,Decor Design And Execution
ASHTAAR INTERIOR DESIGN & GEN MAINT LLC,Dubai – Al Quoz,37611,04-3380780,04-3380870,,,Furniture – Manufacturers & Wholesalers
ASHTAAR INTERIOR DESIGN & GENERAL MAINTENANCE (L.L,Dubai,50182,04-3472210,04-3473865,,,Interior Decoration
ASHTAAR INTERIOR DESIGN & GENERAL MAINTENANCE (L.L,Dubai,50182,04-3472210,04-3473865,,,General Maintenance
ASM Decor,Dubai – Bur Dubai,25253,04-3552655,04-3528178,, ,Interior Designers & Consultants
ATEC WATER DESIGN (L.L.C),Dubai,119655,04-3976280,04-3976281,,,Interior Decoration
ATELIER INTERIOR DESIGN & DECOR,Abu Dhabi,44977,02-6768889,02-6768889,,,Decor Design And Execution
AUJAN INTERIOR DECORATIONS LLC,"240, Damascus, Dubai, United Arab Emirates,",90336,+(971) 42637936,+(971) 42637936,info@aujandubai.com,http://http://fitoutdubai.ae/about-us/,"interior designing company dubai, maintenance comapny dubai, uae"
AUJAN INTERIOR DECORATIONS LLC,"240, Damascus, Dubai, United Arab Emirates",90336,+(971) 42637936,42637936,info@aujandubai.com,http://fitoutdubai.ae/interior-decorations-dubai/,"Interior design, Joinery works, Maintenace work , Space management ,  Renovation"
Ace Interior Design,Dubai,294434,04-3334466,04-3334050,, ,Interior Decorators
Ace Interior Design & Furniture Industry LLC,"Plot 131, Street 7, Ras Al Khor Industrial Area 2",71957,+9714-3334466,+9714-3334050,,http://www.aceid.ae,"interior design companies, interior design company, interior fit out companies, restaurant interior"
Ace Interior Design LLC,Dubai,71957,04-3334466,04-3334050,,,Interior Designers & Consultants
Ace Interior Design LLC,Dubai,71957,04-3334466,04-3334050,,,Interior Decorators
Aden Star Interior Design,Dubai – Ghusais,18786,04-2580663,04-2580664,, ,Interior Designers & Consultants
Adonis Decor LLC,Dubai – Al Quoz,37812,04-3478008,04-3478007,,www.adonisdecor.com,Interior Designers & Consultants
Adyton Art,Dubai,45219,04-3434677,04-3434409,, ,Interior Designers & Consultants
Aenzay,dubai,191656,0971 04 4548287,0971 04 4548288,,http://www.aenzay.com,"Aenzay offers interior design services in Dubai. Building a home or office can be exhausting, expert"
Afkar,Dubai,23047,04-3988372,04-3987526,, ,Interior Designers & Consultants
Ahmed Al Kharoosi Interior Decor,Dubai – Ras Al Khor,60521,04-3330727,04-3330736,, ,Interior Designers & Consultants
Aim Creative Design LLC,Dubai,75751,04-2953031,04-2953053,, ,Interior Decorators
Al Atlal Interior Design,Dubai,32347,04-3330487,04-3337289,,,Interior Decorators
Al Atlal Interior Design,Dubai – Awir,32347,04-3330487,04-2213593,, ,Interior Designers & Consultants
Al Bahsha Decor Cont Interior Designing,Sharjah,39529,06-5736013,06-5736014,,,Interior Designers & Consultants
Al Basha Decor Cont & Interior Designing,Sharjah ,39529,06-5736013,06-5736014,, ,Interior Decorators
Al Buraq Decor,Fujairah,1220,09-2231600,09-2231700,,,Interior Designers & Consultants
Al Buraq Interior Design,Dubai – Deira,28455,04-2949009,04-2952700,, ,Interior Decorators
Al Dar Interior Design,Dubai – Karama,28947,04-3328299,04-3963745,, ,Interior Designers & Consultants
Al Faiez Decor Contracting LLC,Sharjah ,150623,06-5349764,06-5350389,, ,Interior Designers & Consultants
Al Fares Design & Decor Co.,Abu Dhabi- Khalidiya,75272,02-6668847,02-6673375,, ,Interior Designers & Consultants
Al Harfyoon Furnitures Interior Designing,Sharjah,4320,06-5387764,06-5387796,,,Interior Decorators
Al Ihsan Interior Design,Dubai,119262,04-2678581,04-2678582,, ,Interior Decorators
Al Kayed Al Mudbee Tech Cont,"G01, SUNRISE BUILDING  AL MUSALLA  SHARJAH, UAE",65411,971 65234858,971 65234858,sales@alkayed-almubdee.com,http://www.alkayed-almubdee.com,"Plumbing ,Electrical and Interior Design Works"
Al Khaleej Decor Factory LLC,Sharjah,27369,06-5334555,06-5324004,,,Interior Designers & Consultants
Al Lazord Interior Design & Landscaping,Dubai,27859,04-3243025,04-3243024,, ,Interior Decorators
Al Lazord Interior Design & Landscaping,Dubai,27859,04-3243025,04-3243024,,,Interior Decorators
Al Lulu Paint & Decor Matl Co,Dubai,44848,04-3970736,04-306-38,,,Interior Designers & Consultants
Al Mandaloon,Abu Dhabi-Mussafah ,43204,02-5540704,02-5540605,, ,Interior Designers & Consultants
Al Marsam Interior Design,Dubai,11781,04-3970016,04-3971558,,,Interior Decorators
Al Marwan Exbn Svcs,Dubai,5032,04-3392644,04-3392604,,www.almarwan.com,Interior Designers & Consultants
Al Masaood Bergum,Dubai-Jebel Ali,,04-8802626,04-8802126,,www.almasaoodbergum.com,Interior Designers & Consultants
Al Mlms Decoration Est.,Al Ain ,88898,03-7220833,03-7220844,, ,Interior Designers & Consultants
Al Muluki Gallery,Abu Dhabi,52642,02-6311422,02-6310644,,,Interior Designers & Consultants
Al Rahma Decor & Mat Trading Co. LLC,Sharjah,32275,06-5322393,06-5322731,,www.alrahma.ae,Interior Designers & Consultants
Al Reem Ceilings & Fibreglass Factory LLC,Dubai,28054,04-3391540,04-3391469,,www.alreem.ae,Interior Designers & Consultants
Al Remal Interior Design & Decoration,Sharjah- Clock Tower,39871,06-5635569,06-5635568,,www.remalint.com,Interior Decorators
Al Saffar Interiors LLC,Dubai – Al Quoz,49650,04-3474787,04-3470530,,www.alsafarinteriors.com,Interior Designers & Consultants
Al Shahama Interior Design,Dubai – Hor Al Anz,35379,04-2660268,04-2660661,, ,Interior Decorators
Al Shirawi Contracting Co. (LLC),Dubai,33539,04-3338700,04-3338898,,www.alshirawi.com/contracting,Interior Designers & Consultants
Al Taief Engineering,"Al-Nahda 1st, Mai Tower Office   #1506 P.O. Box 47",47890,+97142599555,+97142599333,info@altaief-eng.com,http://at.engineering,"construction company,engineering,concrete leakage treatment,interior design"
Al Taief Engineering LLC,"Al-Nahda 1st, Mai Tower Office #1506",47890,+97142599555,+97142599333,info@altaief-eng.com,http://altaief-eng.com/,"construction company,engineering,concrete leakage treatment,interior design"
Al Taief Engineering LLC,"Al-Nahda 1st, Mai Tower Office #1506 Dubai, U.A.E",47890,+97142599555,+97142599333,info@altaief-eng.com,http://altaief-eng.com/,"construction company,engineering,concrete leakage treatment,interior design"
Al Yarmok Decoration Co.,Sharjah ,57114,06-5333465,06-5337702,,www.yarmok.com,Interior Designers & Consultants
Al Zaher Interiors,AB Plaza 7 – Al Ittihad Rd – Dubai – United Arab E,971 4 423,+971526905870,971 4 423 1180,marketing@aziddubai.com,http://www.aziddubai.com,interior-design
Alicante Decorations,"Al Fardan Centre,  Cornich Road, AL Majaz, Sharjah",38244,00971 6 5565591,00971 6 5565592,najazairi@hotmail.com,http://www.alicanteinteriors.com,Interior Designers & Consultants
Allegrato FZ LLC,Dubai – Dubai Media City,50239,04-3903180,04-3908203,,www.allegrato.co,Interior Designers & Consultants
Alpha Misc LLC,Dubai – Deira,2116,04-2949555,04-2948404,,www.alpha55.net,Interior Designers & Consultants
Alsaidouni Technical Works L L C,UAE / DUBAI / DEIRA,92659,0553554667,042712154,alsaidouni.dxb@gmail.com,http://www.alsaidouniuae.com,"interior design ,fit-out,maintenance ,"
Alsaidouni Technical Works L L C,UAE / DUBAI / DEIRA,92659,0553554667,042712154,alsaidouni.dxb@gmail.com,http://www.alsaidouniuae.com,"interior design ,fit-out,maintenance ,"
Altallah International FZC,Sharjah ,9185,06-5533277,06-5533677,,www.altallah.com,Interior Designers & Consultants
Amana Scratch Interior Design,Dubai – Bur Dubai,27444,04-3555102,04-3553378,,www.amanabuildings.com,Interior Decorators
Ambience Interiors LLC,Dubai – Al Quoz,62878,04-3474929,04-3478189,, ,Interior Designers & Consultants
Anc Interiors,Dubai – Al Quoz,38404,04-3474646,04-8802772,, ,Interior Designers & Consultants
Anoosh Arya Gen Trading LLC,Dubai,13651,04-2234353,04-2234705,,www.anoosharia.com,Interior Designers & Consultants
Apollo Advertising,Dubai,60058,04-2852121,04-2852131,,www.apollosignex.com,Interior Designers & Consultants
Apollo Advertising,Dubai,60058,04-2852121,04-2852131,,www.apollo-advertising.com,Interior Designers & Consultants
Arab Decoration,Dubai – Port Saeed,50403,04-2686444,04-2682299,, ,Interior Designers & Consultants
Arc Line Decor,Dubai,52675,04-3496768,04-3444306,,,Interior Designers & Consultants
Arcade Decor,Abu Dhabi,42167,02-6664632,02-6666072,,,Interior Designers & Consultants
Arcade Decor,Abu Dhabi ,42167,02-6664632,02-6666072,, ,Interior Designers & Consultants
Arch Design Centre,Al Ain,17978,03-7517700,03-7518801,,,Interior Designers & Consultants
Archcorp Architectural Engineering,Dubai – Garhoud,95285,04-2832494,04-2832495,,www.archcorp.biz,Interior Designers & Consultants
Architectural Consulting Group,Abu Dhabi,2535,02-6341290,02-6213705,,www.acg.ae,Interior Designers & Consultants
Architeriors Design,Dubai,57479,04-2956096,,,www.architeriorsdesign.com,Interior Designers & Consultants
Area Interior & Architect,Dubai,34437,04-3352881,04-3352280,,,Interior Designers & Consultants
Area Interiors,Dubai – Karama,34437,04-3352881,04-3352280,, ,Interior Designers & Consultants
ArenCo. Interior Architects,Dubai,2622,04-3376135,04-3378349,,www.aaagroup.com,Interior Designers & Consultants
ArenCo. Interior Architects,Dubai,2622,04-3379910,04-3370903,, ,Interior Designers & Consultants
Arenev Creations,Dubai – Garhoud,60058,04-2865811,04-2865881,, ,Interior Designers & Consultants
Aristo Castle Interior Design LLC,Suite M-09 The Curve Sheikh Zayed Road Dubai,34402,+971527777997,+97143219008,,http://www.aristocastle.com,"Interior Designing, Landscaping,"
Arki Design,Dubai,33591,04-2865855,04-2865856,,www.arkidesign.net,Interior Designers & Consultants
Arsam Design,Abu Dhabi,46050,02-6262828,02-6271122,,,Interior Decorators
Arsam Design,Abu Dhabi ,46050,02-6262828,02-6271122,,www.arsamdesign.com,Interior Decorators
Art & Interior Design,Dubai,14900,04-3364425,04-3364426,,,Interior Decorators
Art & Interior Design,Dubai – Karama,14900,04-3364425,04-3364426,, ,Interior Decorators
Art Connection,Dubai-Dubai Media City,,050-6564241,04-3300371,,,Interior Designers
Art Consultants,Dubai,4360,04-2827760,04-2827768,,,Interior Designers & Consultants
Art Design Decor,Dubai – Deira,50725,04-2666570,04-2690242,, ,Interior Decorators
Art Design Decor,Dubai,50725,04-2666570,04-2690242,,,Interior Decorators
Art Design Decor,Dubai,50725,04-2666570,04-2690242,,,Interior Designers & Consultants
Art Stone,Dubai,11433,04-2825557,04-2824447,,www.artstonedubai.com,Interior Designers & Consultants
Art Team Interior Design,Abu Dhabi- Muroor Road,37284,02-4450014,02-4450013,, ,Interior Decorators
Art Team Interior Design,Abu Dhabi,37284,02-4450014,02-4450013,,,Interior Designers & Consultants
Art Venue,Dubai,60816,04-2827996,04-2828019,,,Interior Designers & Consultants
Art Venue LLC,Dubai,60816,04-2827996,04-2828019,, ,Interior Designers & Consultants
Art Vision Decor LLC,Dubai – Deira,32429,04-2972977,04-2972978,,www.artvisiondecor.com,Interior Designers & Consultants
ArtZgate,"312Indigo Optima Towers,International City,Dubai",20437,0562974888,0562888121,info@artzgate.com,http://artzgate.com/,"Interior designing,decorating and contracting"
Artica Architects,Dubai,89189,04-3963555,04-3976333,,www.articagroup.ae,Interior Designers & Consultants
Artis Emirates,Dubai – Deira,94707,04-2697001,04-2697002,,www.artis.com,Interior Designers & Consultants
